category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
28,Science & Technology,UCsTcErHg8oDvUnTzoqsYeNw,,"Where products get naked.
Here you will find a variety of videos showcasing the coolest products on the planet. From the newest smartphone to surprising gadgets and technology you never knew existed. It's all here on Unbox Therapy.
Business - professional inquiries ONLY - business@unboxtherapy.com
(please don't use YouTube inbox)",13314587,12/21/10,,https://yt3.ggpht.com/a-/AN66SAy99c7q4IYvUK_ELcaWRFiI9Ih2AtelO5SXdA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,The Most Insane Gaming Laptop,https://www.youtube.com/watch?v=hcDrGYyemDw,1473
28,Science & Technology,UCe_vXdMrHHseZ_esYUskSBw,United States,"Fan Mail or if you want me review your product on my channels: Crazy Russian Hacker P.O. Box 49 Waynesville, NC 28786",10904740,5/18/12,,https://yt3.ggpht.com/a-/AN66SAxvcCObtZOTpT_S03bQ19tvhA_6zj4mFNvj9w=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCe_vXdMrHHseZ_esYUskSBw,CrazyRussianHacker,5 Amazing Science Toys Gadgets...,https://www.youtube.com/watch?v=vDX2RUnpe3Y,1235
28,Science & Technology,UCOhHO2ICt0ti9KAh-QHvttQ,India,,9894720,10/19/15,,https://yt3.ggpht.com/a-/AN66SAxQLdQIBoIIglxiIl-jXwT-bdKvRLQHPMUTvA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,Technical Guruji #SeeSomethingNew,https://www.youtube.com/watch?v=P3ksifJUgyY,1937
28,Science & Technology,UCC552Sd-3nyi_tk2BudLUzA,,"Your weekly dose of fun and interesting science.
Created by:
Mitchell Moffit (@mitchellmoffit)
Gregory Brown (@whalewatchmeplz)
CONTACT
asapscience[at]gmail[dot]com
Send us stuff!
ASAPSCIENCE INC.
P.O. Box 93, Toronto P
Toronto, ON, M5S2S6",8271800,5/28/12,,https://yt3.ggpht.com/a-/AN66SAwMwb5RDlfP2YxCQLD_3vS1HJ5gm5gsk_N8=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,Debunking Anti-Vaxxers,https://www.youtube.com/watch?v=b03U6BYF9L0,292
28,Science & Technology,UCE_M8A5yxnLfW0KghEeajjw,,"Apple revolutionized personal technology with the introduction of the Macintosh in 1984. Today, Apple leads the world in innovation with iPhone, iPad, Mac, Apple Watch and Apple TV. Apple's four software platforms iOS, macOS, watchOS and tv provide seamless experiences across all Apple devices and empower people with breakthrough services including the App Store, Apple Music, Apple Pay and iCloud. Apple's more than 100,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.",7865128,6/22/05,,https://yt3.ggpht.com/a-/AN66SAyPZfsl4zazfZcxfh3Csm5_MBFsq4doVZqLzw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCE_M8A5yxnLfW0KghEeajjw,Apple,iPad Pro ‰ÛÓ Change ‰ÛÓ Apple,https://www.youtube.com/watch?v=LjaKHqDbzSA,256
28,Science & Technology,UCXuqSBlHAE6Xw-yeJA0Tunw,,"We make entertaining videos about technology, including tech reviews, showcases and other content.
LinusTechTips@gmail.com - Business inquiries only. All others will be ignored.",7314427,11/25/08,,https://yt3.ggpht.com/a-/AN66SAx3vaKAG4MVtJoLDoTpYI1uPrwbjzC8JYmO5w=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,10 ways iPhones are better,https://www.youtube.com/watch?v=pev5K7OcW-8,4353
28,Science & Technology,UCBJycsmduvYEL83R_U4JriQ,United States,"MKBHD: Quality Tech Videos | YouTuber | Geek | Consumer Electronics | Tech Head | Internet Personality!
My video production gear: https://kit.com/MKBHD/video-gear
marques@MKBHD.com
NYC",7258171,3/21/08,,https://yt3.ggpht.com/a-/AN66SAwxVf-12cuqSiSP2HKPkpDqI0NCAghAiE7IVg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,RED Hydrogen One Review: I Wanted this to be Great!,https://www.youtube.com/watch?v=9fyI-SEnNl8,1063
28,Science & Technology,UCNKcMBYP_-18FLgk4BYGtfw,,"AWE me is here to Amaze, Wow, and Educate.
Home to Mind-Blowing shows Man At Arms: Reforged, Super Fan Builds, DIY Prop Shop and DIY Cosplay Shop, and Epic How To! New videos  every other Monday at 10am PDT.
Whether it's a video with our expert blacksmiths forging Katarina's Daggers from League of Legends, or our master prop builder making a Groot (Guardians of the Galaxy) swing set for a Super Fan, or Joe Bereta teaching you the easy way to become Batman, AWE me will inspire you to raise your game!",7041294,1/11/13,,https://yt3.ggpht.com/a-/AN66SAyMgiLQq8ECO8ROg4MW5bMZzrp6dka-NNbtGw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCNKcMBYP_-18FLgk4BYGtfw,AWE me,Soul Edge & Soul Calibur - Soul Calibur VI - MAN AT ARMS: REFORGED,https://www.youtube.com/watch?v=DOHtafKiLgQ,385
28,Science & Technology,UCK8sQmJBp8GCxrOtXWBpyEA,,"Experience the world of Google on our official YouTube channel. Watch videos about our products,  technology, company happenings and more. Subscribe to get updates from all your favorite Google products and teams.",6794196,9/18/05,,https://yt3.ggpht.com/a-/AN66SAxRHox4MJumwFvuzcxkn59YF-jIV8Bh6Gb3pQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCK8sQmJBp8GCxrOtXWBpyEA,Google,Thanking First Responders,https://www.youtube.com/watch?v=AGigkrCRXUk,2136
28,Science & Technology,UCSrPuHtKbst7Zy8pyWn_3Cg,United States,"Subscribe and enjoy a new video EACH WEEK!
We cut open random things to see what's inside. This channel started with a 2nd grade school project to see what was inside sports balls. We cut things open so you don't have to.  Subscribe. Comment. Enjoy. Any Amazon Link in our description is an affiliate link. 
For brands that would like to feature their product in one of our videos, please reach out by email to dan@whatsinside.it
For fan mail or other items please send to this address:
WHAT\'S INSIDE 
PO Box 911540
St. George, UT 84791",6094040,5/15/08,,https://yt3.ggpht.com/a-/AN66SAztY8Sw202C-7nmZdhyeK9Z09eHGvTRY0a_SQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCSrPuHtKbst7Zy8pyWn_3Cg,What's Inside?,What's inside the YouTube Gold Play Button?,https://www.youtube.com/watch?v=TfL5ivT_NW0,233
