category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
19,Travel & Events,UCHJuQZuzapBh-CuhRYxIZrg,United States,"INSIDER is great journalism about what passionate people actually want to know. That's everything from news to food, celebrity to science, politics to sports and all the rest. It's smart. It's fearless. It's fun. We push the boundaries of digital storytelling. Our mission is to inform and inspire.
Subscribe to our channel and visit us at: https://insder.co/2NCg6Sg
INSIDER on Facebook: https://insder.co/2NyYczE
INSIDER on Instagram: https://insder.co/2xN5qFB
INSIDER on Twitter: https://insder.co/2xyN5wE
INSIDER on Snapchat: https://insder.co/2KJLtVo",3332401,9/25/15,,https://yt3.ggpht.com/a-/AN66SAzBaHQs073gWJvJo-axB9KpZ6girgUblS0c1Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg,INSIDER,Why 'Bohemian Rhapsody' Is The Best Song Ever Written,https://www.youtube.com/watch?v=86YPj0eA3I8,6395
19,Travel & Events,UC0n5Ihqix8mEqGsjygiJk6Q,MÌ©xico,"Vlogs Personales, Detrias de cimaras, Retos y muchas videos divertidos.
Contacto: bryan.skabeche@smashgp.com",3058220,7/6/15,,https://yt3.ggpht.com/a-/AN66SAxr8Qt-iCcpydCPFMi9KwH-FoxVUxJ-pMvP0Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC0n5Ihqix8mEqGsjygiJk6Q,MÌÁs SKabeche,ROAST YOURSELF CHALLENGE - SKabeche,https://www.youtube.com/watch?v=1Q1iTlpG3R0,189
19,Travel & Events,UCBdHwFIE4AJWSa3Wxdu7bAQ,,Blank,3073451,3/9/10,,https://yt3.ggpht.com/a-/AN66SAwQyGMn9XyMIu0zYMH_moLpnE6wuJFWa8MBpQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCBdHwFIE4AJWSa3Wxdu7bAQ,fliptopbattles,FlipTop - Abra vs PriceTagg,https://www.youtube.com/watch?v=SGfCoop7PWs,857
19,Travel & Events,UCyEd6QBSgat5kkC6svyjudA,Thailand,"Food is the reason you should travel, and on my channel you'll watch videos that feature incredibly delicious food and travel tips.
Hey, I'm Mark Wiens!
After graduating from university, I decided to travel for food. Eventually I ended up in Thailand, where I met my wife. My wife and I are now based in Bangkok, Thailand, but we travel frequently to find delicious food.
You'll find street food videos, travel vlogs, and plenty of Thai food videos as that's where I'm based.
I hope you're ready for a delicious food adventure!
Video Posting Schedule:
Sundays & Wednesdays at 8 pm Bangkok time (GMT+7), and some occasional extras. Subscribe now so you don't miss the next video!",2904065,2/2/09,,https://yt3.ggpht.com/a-/AN66SAxWAyM9I1VX5yVKj_kbXpsLmriXAkf6UEVc5Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCyEd6QBSgat5kkC6svyjudA,Mark Wiens,What is it like to travel in PAKISTAN?,https://www.youtube.com/watch?v=7mIzRYh8jGA,901
19,Travel & Events,UCHKVXtT1YBCYUnnr4apqXfg,,"Follow us as we explore our way through the world, feasting on interesting sights and amazing food!
New videos every week. Don't forget to subscribe!",2440622,1/20/13,,https://yt3.ggpht.com/a-/AN66SAxEErSOwSBVn4mgBbKrt8uvgSEIgcl3BlFvZQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCHKVXtT1YBCYUnnr4apqXfg,Travel Thirsty,Thailand Street Food - SHOCKING BLACK CREPE Bangkok Dessert,https://www.youtube.com/watch?v=7sJb6-yl_sA,385
19,Travel & Events,UCiAq_SU0ED1C6vWFMnw8Ekg,China,"My name is Trevor James and I live to eat and travel.  I live for street food and local food, and I'm traveling to taste it. I'm a hungry traveler that's currently living abroad in Chengdu, Sichuan China,  eating as much delicious food as I can.
So far, I've eaten and filmed street food and local cuisine in China, Malaysia, Singapore, and Thailand. Eating the same food as local Chinese, Malaysian, or Thai people has showed me that it's best to travel almost solely for the food! My dream is to keep eating and traveling the world forever, a non-stop adventure!  I live to travel, and I know you do too! I love eating street foods and culinary treats while learning about new cultures!
Food is different around the world, and I want to share it with you. Food is something that connects us all, and to me, food is the best way to connect and have a true cultural experience everywhere you travel!
For business enquiries: Josh@JZManagement.com",2276125,3/13/13,,https://yt3.ggpht.com/a-/AN66SAzsrUXzjsGtK2IAihKnX0hLwdaC0xYd2u7pqA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,"Chinese Street Food DAN DAN NOODLE Tour in Sichuan, China | INSANELY GOOD and SPICY Szechuan Noodles",https://www.youtube.com/watch?v=UvDGBIkJaqQ,220
19,Travel & Events,UCDPk9MG2RexnOMGTD-YnSnA,,"National Geographic Wild is a place for all things animals and for animal-lovers alike. Take a journey through the animal kingdom with us and discover things you never knew before, or rediscover your favorite animals!",2053557,9/24/07,,https://yt3.ggpht.com/a-/AN66SAx6kc36kT8ElNWQPCCPFAKZnLd7e4eyyArHqw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCDPk9MG2RexnOMGTD-YnSnA,Nat Geo WILD,Which Animals Have Night Vision? | Animal Autofill,https://www.youtube.com/watch?v=P60c0GFHJBc,2867
19,Travel & Events,UCLMtDePlMyiqv2XC_ByNEVQ,Japan,"We're Simon and Martina, a married couple from Canada.  We lived in Korea for over seven years and now we\'ve been living in Tokyo for two, and we make weekly videos all about delicious food, travel guides, how-to recipes, and general adventures.  We're pretty open talking about life with a chronic condition, and we love chatting with our viewers in the comments.  Join the Nasty family :)
We love getting your letters, fan art, and packages! We open them during Magical Mail Time found on our bonus channel: youtube.com/simonandmartinabonus
Attn: Simon and Martina Stawski
Breaker Inc
B1/B2 
7-3-24 Roppongi, Minato-ku
Tokyo-to, Japan
106-0032",1372564,2/2/08,,https://yt3.ggpht.com/a-/AN66SAyTYzLpuIi1IAFIzJsLm22fgqe04B4tXkoJYQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCLMtDePlMyiqv2XC_ByNEVQ,Simon and Martina,Saito: The Sushi God of Tokyo,https://www.youtube.com/watch?v=JkeRhKnROds,1390
19,Travel & Events,UCcAd5Np7fO8SeejB1FVKcYw,United States,"I travel to unique parts of the world on the hunt for the best food each country has to offer and share these stories with you in my videos.
Hey, I'm Sonny! I'm from the US but currently call Vietnam home. I've been living in Asia for 10 years and started making food and travel videos to document my experiences. People either enjoyed my undeniable wit or enjoyed watching me eat interesting food like sea penis, and thus Best Ever Food Review Show came to be. 
Best Ever Food Review Show is the first food review show exploring the unique foods of each country with a fresh point of view and a punchy delivery, encouraging empathy and understanding of other cultures along the way. From the best street food to the most insane food markets to...well...yes, sea penis, nothing is off limits (except cucumbers. Cucumbers are off limits). 
I can't wait to see where this food journey takes us. Don't forget to subscribe, so we can connect through food and travel and become Bestys!",1323661,9/23/10,,https://yt3.ggpht.com/a-/AN66SAw67gM-tDk3OE8iM0sjOLoA9RMdz5ohm0_fTw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCcAd5Np7fO8SeejB1FVKcYw,Best Ever Food Review Show,$2 PHO vs $100 PHO - Northern VS Southern Pho! (CÌ_ ph‡È´ €Ô‡È Ti‡¼Àng Vi‡Èàt),https://www.youtube.com/watch?v=ftsQYS1fkOs,213
19,Travel & Events,UCixvwLpO_pk4uVOkkkqP3Mw,India,"As the world's largest production house and tourism content archive of factual HD video from South Asia, you can make us part of your production plans in India/South Asia. We deliver the widest range of production, gear, location, support services and stock footage.
We can open doors that no one else can - creative, aesthetic, bureaucratic and most importantly - those in the mind! And yes, while some of us have a weakness for wildlife, wilderness and the outdoors, we do produce programming on just about every subject under the sun.
The largest global collection of HD internet and television content on South Asia is now online, as a part of Wilderness Films India's Visual mapping of the Indian Subcontinent' initiative which has taken a team of 100 people some 31 years to put together, and we're doubling up our efforts going forward, in order to archive in High Definition every aspect of the South Asian experience! We have 86, 000+ clips & films and plan to attain 1 million by 2019.",1303437,7/13/06,,https://yt3.ggpht.com/a-/AN66SAxDY8mgD-aP1mO4MypgOj8OiZ3xx3AdMC5oEw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCixvwLpO_pk4uVOkkkqP3Mw,WildFilmsIndia,Mystery predator of the Himalaya: Collared Pygmy Owlet,https://www.youtube.com/watch?v=K4hgMh3OoB8,82523
